,,visitors,visitors,visitors,reserve_visitors,reserve_visitors,reserve_visitors
,,sum,mean,std,sum,mean,std
day_of_week,holiday,,,,,,
Friday,0,485546,26.408462960948548,18.085224832902583,284420.2115222341,15.46939037975819,7.455105431295541
Friday,1,25939,35.67950481430537,25.42114487817155,17713.39571900262,24.365056009632212,24.282047314918316
Monday,0,269941,19.669265520256484,15.061620851104436,237179.08641691614,17.282066920498114,10.600877045492894
Monday,1,47616,31.080939947780678,21.237359762247134,21872.852738244466,14.27731901974182,4.807978505955891
Saturday,0,577582,30.38465989794308,21.038171485422257,321770.30033018894,16.927260788583773,12.51786685327427
Saturday,1,22485,27.057761732851986,21.157619250131177,11010.633610383591,13.24985994029313,3.8071838508318843
Sunday,0,431512,28.128022945049214,22.779074094858053,335131.897233298,21.845505327768592,17.78658548809319
Sunday,1,13423,31.73286052009456,23.67076772395936,6259.959831492621,14.798959412512106,3.808536322020383
Thursday,0,351705,22.101740715138565,16.133275295365355,224251.9952407784,14.092377002499742,5.068298608809227
Thursday,1,54174,27.26421741318571,19.86082347468723,34739.92223613844,17.483604547628808,4.157982026327471
Tuesday,0,341918,20.87666381731591,17.102528482230216,264815.21721503866,16.168959409881467,7.532205206365964
Tuesday,1,9122,36.78225806451613,22.12370830973931,4129.133644540599,16.649732437663705,0.0
Wednesday,0,381777,22.619800924280128,17.769913354197765,257599.9683479061,15.262469981508834,5.691814039916695
Wednesday,1,13022,29.13199105145414,20.42042482571555,7442.4303996355875,16.649732437663506,0.0
